classifier_name,dataset_name,accuracy
HPO-RL-Bench Oracle,Pong-v0_0,-12.2
RL Zoo,Pong-v0_0,-13.1
HPO-RL-Bench Optuna,Pong-v0_0,-12.2
HPO-RL-Bench Oracle,Alien-v0_0,1249.0
RL Zoo,Alien-v0_0,1248.0
HPO-RL-Bench Optuna,Alien-v0_0,1249.0
HPO-RL-Bench Oracle,BankHeist-v0_0,76.0
RL Zoo,BankHeist-v0_0,412.0
HPO-RL-Bench Optuna,BankHeist-v0_0,76.0
HPO-RL-Bench Oracle,BeamRider-v0_0,1312.0
RL Zoo,BeamRider-v0_0,2234.4
HPO-RL-Bench Optuna,BeamRider-v0_0,1312.0
HPO-RL-Bench Oracle,Breakout-v0_0,11.2
RL Zoo,Breakout-v0_0,11.2
HPO-RL-Bench Optuna,Breakout-v0_0,11.2
HPO-RL-Bench Oracle,Enduro-v0_0,266.5
RL Zoo,Enduro-v0_0,114.4
HPO-RL-Bench Optuna,Enduro-v0_0,266.5
HPO-RL-Bench Oracle,Phoenix-v0_0,3284.0
RL Zoo,Phoenix-v0_0,3328.0
HPO-RL-Bench Optuna,Phoenix-v0_0,3284.0
HPO-RL-Bench Oracle,Seaquest-v0_0,888.0
RL Zoo,Seaquest-v0_0,1208.0
HPO-RL-Bench Optuna,Seaquest-v0_0,778.0
HPO-RL-Bench Oracle,SpaceInvaders-v0_0,505.5
RL Zoo,SpaceInvaders-v0_0,393.5
HPO-RL-Bench Optuna,SpaceInvaders-v0_0,402.5
HPO-RL-Bench Oracle,Riverraid-v0_0,3303.0
RL Zoo,Riverraid-v0_0,2982.0
HPO-RL-Bench Optuna,Riverraid-v0_0,3303.0
HPO-RL-Bench Oracle,Skiing-v0_0,-9013.0
RL Zoo,Skiing-v0_0,-30000.0
HPO-RL-Bench Optuna,Skiing-v0_0,-9013.0
HPO-RL-Bench Oracle,Boxing-v0_0,39.4
RL Zoo,Boxing-v0_0,22.8
HPO-RL-Bench Optuna,Boxing-v0_0,39.4
HPO-RL-Bench Oracle,Bowling-v0_0,30.0
RL Zoo,Bowling-v0_0,4.2
HPO-RL-Bench Optuna,Bowling-v0_0,30.0
HPO-RL-Bench Oracle,Asteroids-v0_0,329.0
RL Zoo,Asteroids-v0_0,220.0
HPO-RL-Bench Optuna,Asteroids-v0_0,220.0
HPO-RL-Bench Oracle,CartPole-v1_0,500.0
RL Zoo,CartPole-v1_0,9.5
HPO-RL-Bench Optuna,CartPole-v1_0,500.0
HPO-RL-Bench Oracle,MountainCar-v0_0,-200.0
RL Zoo,MountainCar-v0_0,-200.0
HPO-RL-Bench Optuna,MountainCar-v0_0,-200.0
HPO-RL-Bench Oracle,Acrobot-v1_0,-73.9
RL Zoo,Acrobot-v1_0,-81.2
HPO-RL-Bench Optuna,Acrobot-v1_0,-78.6
HPO-RL-Bench Oracle,Ant-v2_0,1456.2442148999999
RL Zoo,Ant-v2_0,-46.350323700000004
HPO-RL-Bench Optuna,Ant-v2_0,1456.2442148999999
HPO-RL-Bench Oracle,Hopper-v2_0,351.39085239999997
