classifier_name,dataset_name,accuracy
HPO-RL-Bench Oracle,Ant-v2_0,910.3277883999999
RL Zoo,Ant-v2_0,-863.8701583
HPO-RL-Bench Optuna,Ant-v2_0,909.4570561
HPO-RL-Bench Oracle,Hopper-v2_0,899.8010295999999
RL Zoo,Hopper-v2_0,976.6272552999999
HPO-RL-Bench Optuna,Hopper-v2_0,899.8010295999999
HPO-RL-Bench Oracle,Humanoid-v2_0,648.0098161999999
RL Zoo,Humanoid-v2_0,378.31954950000005
HPO-RL-Bench Optuna,Humanoid-v2_0,640.2700993000001
HPO-RL-Bench Oracle,Ant-v2_1,934.0476022999999
RL Zoo,Ant-v2_1,-983.6555716
HPO-RL-Bench Optuna,Ant-v2_1,896.4313712999999
HPO-RL-Bench Oracle,Hopper-v2_1,1104.1364202
RL Zoo,Hopper-v2_1,1019.3576881000001
HPO-RL-Bench Optuna,Hopper-v2_1,1104.1364202
HPO-RL-Bench Oracle,Humanoid-v2_1,640.7214687999999
RL Zoo,Humanoid-v2_1,65.71052749999998
HPO-RL-Bench Optuna,Humanoid-v2_1,640.7214687999999
HPO-RL-Bench Oracle,Ant-v2_2,930.9132192
RL Zoo,Ant-v2_2,-721.7576394
HPO-RL-Bench Optuna,Ant-v2_2,930.9132192
HPO-RL-Bench Oracle,Hopper-v2_2,1005.1691699999999
RL Zoo,Hopper-v2_2,5.312430300000001
HPO-RL-Bench Optuna,Hopper-v2_2,1005.1691699999999
HPO-RL-Bench Oracle,Humanoid-v2_2,522.4453354
RL Zoo,Humanoid-v2_2,120.24471969999999
HPO-RL-Bench Optuna,Humanoid-v2_2,433.29651739999997
