classifier_name,dataset_name,accuracy
HPO-RL-Bench Oracle,Pong-v0_0,-9.5
RL Zoo,Pong-v0_0,-19.5
HPO-RL-Bench Optuna,Pong-v0_0,-9.5
HPO-RL-Bench Oracle,Alien-v0_0,1792.0
RL Zoo,Alien-v0_0,562.0
HPO-RL-Bench Optuna,Alien-v0_0,1492.0
HPO-RL-Bench Oracle,BankHeist-v0_0,291.0
RL Zoo,BankHeist-v0_0,268.0
HPO-RL-Bench Optuna,BankHeist-v0_0,280.0
HPO-RL-Bench Oracle,BeamRider-v0_0,2078.8
RL Zoo,BeamRider-v0_0,2824.0
HPO-RL-Bench Optuna,BeamRider-v0_0,2078.8
HPO-RL-Bench Oracle,Breakout-v0_0,12.5
RL Zoo,Breakout-v0_0,11.1
HPO-RL-Bench Optuna,Breakout-v0_0,12.5
HPO-RL-Bench Oracle,Enduro-v0_0,435.8
RL Zoo,Enduro-v0_0,137.3
HPO-RL-Bench Optuna,Enduro-v0_0,435.8
HPO-RL-Bench Oracle,Phoenix-v0_0,3388.0
RL Zoo,Phoenix-v0_0,3044.0
HPO-RL-Bench Optuna,Phoenix-v0_0,3090.0
HPO-RL-Bench Oracle,Seaquest-v0_0,1598.0
RL Zoo,Seaquest-v0_0,1112.0
HPO-RL-Bench Optuna,Seaquest-v0_0,1476.0
HPO-RL-Bench Oracle,SpaceInvaders-v0_0,593.0
RL Zoo,SpaceInvaders-v0_0,572.0
HPO-RL-Bench Optuna,SpaceInvaders-v0_0,546.5
HPO-RL-Bench Oracle,Riverraid-v0_0,5659.0
RL Zoo,Riverraid-v0_0,3066.0
HPO-RL-Bench Optuna,Riverraid-v0_0,5583.0
HPO-RL-Bench Oracle,Skiing-v0_0,-9013.0
RL Zoo,Skiing-v0_0,-30000.0
HPO-RL-Bench Optuna,Skiing-v0_0,-9013.0
HPO-RL-Bench Oracle,Boxing-v0_0,51.7
RL Zoo,Boxing-v0_0,25.2
HPO-RL-Bench Optuna,Boxing-v0_0,39.8
