classifier_name,dataset_name,accuracy
HPO-RL-Bench Oracle,Ant-v2_0,6304.3223628
RL Zoo,Ant-v2_0,9.8492321
HPO-RL-Bench Optuna,Ant-v2_0,6304.3223628
HPO-RL-Bench Oracle,Hopper-v2_0,3747.206793800001
RL Zoo,Hopper-v2_0,982.7823378999999
HPO-RL-Bench Optuna,Hopper-v2_0,2324.7377606
HPO-RL-Bench Oracle,Humanoid-v2_0,6951.900556099999
RL Zoo,Humanoid-v2_0,70.425264
HPO-RL-Bench Optuna,Humanoid-v2_0,6099.130687700001
HPO-RL-Bench Oracle,Ant-v2_1,6299.450846600001
RL Zoo,Ant-v2_1,-150.2790696
HPO-RL-Bench Optuna,Ant-v2_1,6299.450846600001
HPO-RL-Bench Oracle,Hopper-v2_1,3667.4144509
RL Zoo,Hopper-v2_1,437.30592449999995
HPO-RL-Bench Optuna,Hopper-v2_1,3667.4144509
HPO-RL-Bench Oracle,Humanoid-v2_1,6473.9598288
RL Zoo,Humanoid-v2_1,84.6005931
HPO-RL-Bench Optuna,Humanoid-v2_1,5796.2442643
HPO-RL-Bench Oracle,Ant-v2_2,5873.6004322
RL Zoo,Ant-v2_2,-40.6701298
HPO-RL-Bench Optuna,Ant-v2_2,5873.6004322
HPO-RL-Bench Oracle,Hopper-v2_2,3294.0584405
RL Zoo,Hopper-v2_2,1114.7042784999999
HPO-RL-Bench Optuna,Hopper-v2_2,3294.0584405
HPO-RL-Bench Oracle,Humanoid-v2_2,7059.0178613
RL Zoo,Humanoid-v2_2,107.55327770000001
HPO-RL-Bench Optuna,Humanoid-v2_2,5252.3721601
