classifier_name,dataset_name,accuracy
HPO-RL-Bench Oracle,Ant-v2_0,3440.6370815999994
RL Zoo,Ant-v2_0,408.8878343
HPO-RL-Bench Optuna,Ant-v2_0,3440.6370815999994
HPO-RL-Bench Oracle,Hopper-v2_0,2705.1888317000003
RL Zoo,Hopper-v2_0,616.8608969
HPO-RL-Bench Optuna,Hopper-v2_0,1008.8228720000001
HPO-RL-Bench Oracle,Humanoid-v2_0,5088.424197300001
RL Zoo,Humanoid-v2_0,79.12326699999998
HPO-RL-Bench Optuna,Humanoid-v2_0,5088.424197300001
HPO-RL-Bench Oracle,Ant-v2_1,5165.9529594
RL Zoo,Ant-v2_1,422.3193915
HPO-RL-Bench Optuna,Ant-v2_1,2891.3564722
HPO-RL-Bench Oracle,Hopper-v2_1,3670.9937963
RL Zoo,Hopper-v2_1,676.9296545
HPO-RL-Bench Optuna,Hopper-v2_1,3670.9937963
HPO-RL-Bench Oracle,Humanoid-v2_1,5293.3532426
RL Zoo,Humanoid-v2_1,244.0403585
HPO-RL-Bench Optuna,Humanoid-v2_1,5293.3532426
HPO-RL-Bench Oracle,Ant-v2_2,3202.9115876
RL Zoo,Ant-v2_2,-2999.8373024
HPO-RL-Bench Optuna,Ant-v2_2,3202.9115876
HPO-RL-Bench Oracle,Hopper-v2_2,3616.4793224
RL Zoo,Hopper-v2_2,39.0174711
HPO-RL-Bench Optuna,Hopper-v2_2,3616.4793224
HPO-RL-Bench Oracle,Humanoid-v2_2,4815.964181400001
RL Zoo,Humanoid-v2_2,84.8019064
HPO-RL-Bench Optuna,Humanoid-v2_2,4815.964181400001
